id,name,address
144,Western Arizona Regional Medical Center,"2735 Silver Creek Road, Bullhead City, AZ, 86442"
145,Mayo Clinic Hospital,"5777 East Mayo Boulevard, Phoenix, AZ, 85054"
146,Banner Heart Hospital,"6750 East Baywood Avenue, Mesa, AZ, 85206"
147,Arizona Spine And Joint Hospital,"4620 East Baseline Road, Mesa, AZ, 85206"
148,"Core Institute Specialty Hospital, The","6501 North 19th Avenue, Phoenix, AZ, 85015"
149,Abrazo West Campus,"13677 West Mcdowell Road, Goodyear, AZ, 85395"
150,Banner-university Medical Center South Campus,"2800 East Ajo Way, Tucson, AZ, 85713"
151,Arizona Specialty Hospital,"2905 West Warner Road, Suite 1, Chandler, AZ, 85224"
152,Whiteriver Phs Indian Hospital,"200 West Hospital Drive  (po Box 860), Whiteriver, AZ, 85941"
153,Oro Valley Hospital,"1551 East Tangerine Road, Oro Valley, AZ, 85755"
154,Banner Estrella Medical Center,"9201 West Thomas Road, Phoenix, AZ, 85037"
155,Valley View Medical Center,"5330 South Highway 95, Fort Mohave, AZ, 86426"
156,Mercy Gilbert Medical Center,"3555 South Val Vista Drive, Gilbert, AZ, 85296"
157,Gilbert Hospital,"5656 South Power Road, Gilbert, AZ, 85295"
158,"Mountain Vista Medical Center, Lp","1301 South Crismon Road, Mesa, AZ, 85209"
159,Banner Gateway Medical Center,"1900 North Higley Road, Gilbert, AZ, 85234"
160,Scottsdale Thompson Peak Medical Center,"7400 East Thompson Peak Parkway, Scottsdale, AZ, 85255"
161,Banner Ironwood Medical Center,"37000 North Gantzel Road, San Tan Valley, AZ, 85140"
162,O.a.s.i.s. Hospital,"750 North 40th Street, Phoenix, AZ, 85008"
163,"Florence Hospital At Anthem, Llc","4545 North Hunt Highway, Florence, AZ, 85132"
164,Banner Goldfield Medical Center,"2050 West Southern Avenue, Apache Junction, AZ, 85120"
165,Dignity Health - Arizona General Hospital,"7171 South 51st Avenue, Laveen, AZ, 85339"
166,Green Valley Hospital,"4455 South I-19 Frontage Road, Green Valley, AZ, 85614"
167,Wickenburg Community Hospital,"520 Rose Lane, Wickenburg, AZ, 85390"
168,Benson Hospital,"450 South Ocotillo Avenue, Benson, AZ, 85602"
169,"Northern Cochise Community Hospital, Inc.","901 West Rex Allen Drive, Willcox, AZ, 85643"
170,Page Hospital,"501 North Navajo Drive, Page, AZ, 86040"
171,Hopi Health Care Center,"Highway 264, Milepost 388, Polacca, AZ, 86042"
172,Parker Indian Health Center,"12033 Agency Road, Parker, AZ, 85344"
173,Huhu Kam Memorial Hospital,"483 West Seed Farm Road, Sacaton, AZ, 85147"
174,Sage Memorial Hospital,"State Route 264 South 191, Ganado, AZ, 86505"
175,Little Colorado Medical Center,"1501 North Williamson Avenue, Winslow, AZ, 86047"
176,Copper Queen Community Hospital,"101 Cole Avenue, Bisbee, AZ, 85603"
177,Holy Cross Hospital,"1171 West Target Range Road, Nogales, AZ, 85621"
178,Cobre Valley Regional Medical Center,"5880 South Hospital Drive, Globe, AZ, 85501"
179,White Mountain Regional Medical Center,"118 South Mountain Avenue, Springerville, AZ, 85938"
180,La Paz Regional Hospital,"1200 West Mohave Road, Parker, AZ, 85344"
181,"Los Ninos Hospital, Inc.","2303 East Thomas, Phoenix, AZ, 85016"
182,Phoenix Children's Hospital,"1919 East Thomas Road, Phoenix, AZ, 85016"
183,"Hacienda Children's Hospital, Inc.","610 West Jerome Avenue, Mesa, AZ, 85210"
184,Siloam Springs Regional Hospital,"603 North Progress Avenue, Siloam Springs, AR, 72761"
185,Johnson Regional Medical Center,"1100 East Poplar Street, Clarksville, AR, 72830"
186,Washington Regional Medical Center,"3215 N North Hills Boulevard, Fayetteville, AR, 72703"
187,Chi-st Vincent Infirmary,"Two St Vincent Circle, Little Rock, AR, 72205"
188,Mercy Hospital Northwest Arkansas,"2710 South Rife Medical Lane, Rogers, AR, 72758"
189,Chambers Memorial Hospital,"719 Detroit Street, Danville, AR, 72833"
190,White County Medical Center,"3214 East Race Avenue, Searcy, AR, 72143"
191,Mena Regional Health System,"311 North Morrow Street, Mena, AR, 71953"
192,Uams Medical Center,"4301 West Markham Street Mail Slot 612, Little Rock, AR, 72205"
193,North Arkansas Regional Medical Center,"620 North Main Street, Harrison, AR, 72601"
194,Sparks Medical Center - Van Buren,"East Main And South 20th Street, Van Buren, AR, 72956"
195,Forrest City Medical Center,"1601 Newcastle Road, Forrest City, AR, 72335"
196,St Bernards Medical Center,"225 E Jackson, Jonesboro, AR, 72401"
197,Northwest Medical Center-springdale,"609 West Maple Avenue, Springdale, AR, 72764"
198,Chi St. Vincent Hospital Hot Springs,"300 Werner Street, Hot Springs, AR, 71903"
199,Baxter Regional Medical Center,"624 Hospital Drive, Mountain Home, AR, 72653"
200,Conway Regional Medical Center,"2302 College Avenue, Conway, AR, 72034"
201,Baptist Health Medical Center North Little Rock,"3333 Springhill Drive, North Little Rock, AR, 72117"
202,Arkansas Methodist Medical Center,"900 West Kingshighway, Paragould, AR, 72450"
203,St Marys Regional Medical Center,"1808 West Main Street, Russellville, AR, 72801"
204,Five Rivers Medical Center,"2801 Medical Center Drive, Pocahontas, AR, 72455"
205,Ouachita County Medical Center,"638 California Avenue, Camden, AR, 71701"
206,Drew Memorial Hospital,"778 Scogin Drive, Monticello, AR, 71655"
207,Sparks Regional Medical Center,"1001 Towson Avenue, Fort Smith, AR, 72902"
208,Mercy Hospital Fort Smith,"7301 Rogers Ave, Fort Smith, AR, 72917"
209,Magnolia Hospital,"101 Hospital Drive, Magnolia, AR, 71754"
210,Great River Medical Center,"1520 N Division Street, Blytheville, AR, 72315"
211,Jefferson Regional Medical Center,"1600 West 40th Avenue, Pine Bluff, AR, 71603"
212,Baptist Health Medical Center-stuttgart,"1703 North Buerkle St, Stuttgart, AR, 72160"
213,North Metro Medical Center,"1400 Braden Street, Jacksonville, AR, 72076"
214,Baptist Health Medical Center-hot Springs County,"1001 Schneider Drive, Malvern, AR, 72104"
215,National Park Medical Center,"1910 Malvern Avenue, Hot Springs, AR, 71901"
216,Saline Memorial Hospital,"#1 Medical Park Drive, Benton, AR, 72015"
217,Helena Regional Medical Center,"1801 Martin Luther King Jr Drive, Helena, AR, 72342"
218,Medical Center South Arkansas,"700 West Grove Street, El Dorado, AR, 71731"
219,Baptist Health Medical Center-little Rock,"9601 Interstate 630, Exit 7, Little Rock, AR, 72205"
220,Nea Baptist Memorial Hospital,"4800 East Johnson Avenue, Jonesboro, AR, 72401"
221,White River Medical Center,"1710 Harrison Street, Batesville, AR, 72503"
222,Levi Hospital,"300 Prospect Ave, Hot Springs, AR, 71901"
223,"Arkansas Heart Hospital, Llc","1701 S Shackleford Road, Little Rock, AR, 72211"
224,St Vincent Medical Center/north,"2215 Wildwood Avenue, Sherwood, AR, 72120"
225,Arkansas Surgical Hospital,"5201 North Shore Drive, No Little Rock, AR, 72118"
226,Northwest Health Physicians Specialty Hospital,"3873 North Parkview Drive, Fayetteville, AR, 72703"
227,Wadley Regional Medical Center At Hope,"2001 South Main, Hope, AR, 71801"
228,Baptist Health Medical Center-conway,"1555 Exchange Avenue, Conway, AR, 72032"
229,North Logan Mercy Hospital,"500 East Academy, Paris, AR, 72855"
230,River Valley Medical Center,"200 North Third Street, Dardanelle, AR, 72834"
231,Mercy Hospital Turner Memorial,"801 West River Street, Ozark, AR, 72949"
232,"Eureka Springs Hospital, Llc","24 Norris Street, Eureka Springs, AR, 72632"
233,Mercy Hospital Waldron,"1341 West Sixth Street, Waldron, AR, 72958"
234,Community Medical Center Izard County,"103 Grasse Street, Calico Rock, AR, 72519"
235,Crossridge Community Hospital,"310 South Falls Boulevard, Wynne, AR, 72396"
236,Mcgehee Hospital,"900 South Third Street, Mcgehee, AR, 71654"
237,Lawrence Memorial Hospital,"1309 West Main, Walnut Ridge, AR, 72476"
238,Stone County Medical Center,"2106 East Main Street, Mountain View, AR, 72560"
239,Howard Memorial Hospital,"130 Medical Circle, Nashville, AR, 71852"
240,Baptist Health Medical Center Heber Spings,"1800 Bypass Road, Heber Springs, AR, 72543"
241,Ozark Health,"2500 Highway 65 South, Clinton, AR, 72031"
242,"Dewitt Hospital & Nursing Home, Inc","1641 Whitehead Drive, De Witt, AR, 72042"
243,South Missississpi County Regional Medical Center,"611 West Lee Avenue, Osceola, AR, 72370"
244,Dallas County Medical Center,"201 Clifton Street, Fordyce, AR, 71742"
245,Mercy Hospital Booneville,"880 West Main, Booneville, AR, 72927"
246,"De Queen Medical Center, Inc","1306 West Collin Raye Drive, De Queen, AR, 71832"
247,Little River Memorial Hospital,"451 West Locke Street, Ashdown, AR, 71822"
248,Baptist Health Medical Center-arkadelphia,"3050 Twin Rivers Drive, Arkadelphia, AR, 71923"
249,Fulton County Hospital,"679 North Main Street, Salem, AR, 72576"
250,Ashley County Medical Center,"1015 Unity Road, Crossett, AR, 71635"
251,Chi St Vincent Morrilton,"#4 Hospital Drive, Morrilton, AR, 72110"
252,Delta Memorial Hospital,"811 Highway 65 South, Dumas, AR, 71639"
253,Bradley County Medical Center,"404 South Bradley Street, Warren, AR, 71671"
254,Chicot Memorial Medical Center,"2729 South Highway 65 & 82, Lake Village, AR, 71653"
255,Mercy Hospital Berryville,"214 Carter Street, Berryville, AR, 72616"
256,Piggott Community Hospital,"1206 Gordon Duckworth Drive, Piggott, AR, 72454"
257,Ozarks Community Hospital Of Gravette,"1101 Jackson Street Sw, Gravette, AR, 72736"
258,Arkansas Children's Hospital,"1 Children's Way, Slot 301, Little Rock, AR, 72202"
259,St Rose Hospital,"27200 Calaroga Ave, Hayward, CA, 94545"
260,St Joseph Hospital,"2700 Dolbeer St, Eureka, CA, 95501"
261,Mills-peninsula Medical Center,"1501 Trousdale Drive, Burlingame, CA, 94010"
262,California Pacific Medical Ctr-davies Campus Hosp,"601 Duboce Ave, San Francisco, CA, 94117"
263,Queen Of The Valley Medical Center,"1000 Trancas St, Napa, CA, 94558"
264,St Helena Hospital,"10 Woodland Road, Saint Helena, CA, 94574"
265,Sutter Amador Hospital,"200 Mission Blvd, Jackson, CA, 95642"
266,Mercy General Hospital,"4001 J St, Sacramento, CA, 95819"
267,Pacific Alliance Medical Center,"531 W College St, Los Angeles, CA, 90012"
268,Riverside Community Hospital,"4445 Magnolia Avenue, Riverside, CA, 92501"
269,Paradise Valley Hospital,"2400 East 4th St, National City, CA, 91950"
270,Uc San Diego Health Hillcrest - Hillcrest Med Ctr,"200 West Arbor Drive, San Diego, CA, 92103"
271,Grossmont Hospital,"5555 Grossmont Center Drive Box 58, La Mesa, CA, 91942"
272,Mad River Community Hospital,"3800 Janes Rd, Arcata, CA, 95521"
273,Oroville Hospital,"2767 Olive Highway, Oroville, CA, 95966"
274,Bakersfield Memorial Hospital,"420 34th St, Bakersfield, CA, 93301"
275,Santa Clara Valley Medical Center,"751 South Bascom Avenue, San Jose, CA, 95128"
276,Enloe Medical Center,"1531 Esplanade, Chico, CA, 95926"
277,Lac/olive View-ucla Medical Center,"14445 Olive View Drive, Sylmar, CA, 91342"
278,St Elizabeth Community Hospital,"2550 Sister Mary Columba Drive, Red Bluff, CA, 96080"
279,Alta Bates Summit Medical Center,"350 Hawthorne Avenue, Oakland, CA, 94609"
280,El Centro Regional Medical Center,"1415 Ross Avenue, El Centro, CA, 92243"
281,California Pacific Medical Ctr-pacific Campus Hosp,"2333 Buchanan Street, San Francisco, CA, 94115"
282,San Gorgonio Memorial Hospital,"600 North Highland Springs Avenue, Banning, CA, 92220"
283,California Pacific Medical Ctr - St. Luke's Campus,"3555 Cesar Chavez Street, San Francisco, CA, 94110"
284,Antelope Valley Hospital,"1600 W Ave J, Lancaster, CA, 93534"
285,Kaweah Delta Medical Center,"400 W Mineral King Ave, Visalia, CA, 93291"
286,Glendale Mem Hospital & Hlth Center,"1420 S Central Ave, Glendale, CA, 91204"
287,Community Regional Medical Center,"2823 Fresno Street, Fresno, CA, 93721"
288,Hollywood Presbyterian Medical Center,"1300 N Vermont Ave, Los Angeles, CA, 90027"
289,Oak Valley Hospital District,"350 S Oak Ave, Oakdale, CA, 95361"
290,St Joseph Hospital,"1100 West Stewart Dr, Orange, CA, 92868"
291,Kaiser Foundation Hospital - South San Francisco,"1200 El Camino Real, South San Francisco, CA, 94080"
292,Kaiser Foundation Hospital-santa Clara,"700 Lawrence Expressway, Santa Clara, CA, 95051"
293,Kaiser Foundation Hospital - Walnut Creek,"1425 S Main Street, Walnut Creek, CA, 94596"
294,Kaiser Foundation Hospital And Rehab Center,"975 Sereno Dr, Vallejo, CA, 94589"
295,Kaiser Foundation Hospital - Oakland/richmond,"275 W Macarthur Boulevard, Oakland, CA, 94611"
296,Kaiser Foundation Hospital - San Francisco,"2425 Geary Blvd, San Francisco, CA, 94115"
297,Scripps Mercy Hospital,"4077 5th Ave, San Diego, CA, 92103"
298,Providence Little Co Of Mary Med Ctr San Pedro,"1300 W 7th St, San Pedro, CA, 90732"
299,St Johns Regional Medical Center,"1600 N Rose Ave, Oxnard, CA, 93030"
300,St Joseph's Medical Center Of Stockton,"1800 N California St, Stockton, CA, 95204"
301,Community Hospital Of San Bernardino,"1805 Medical Center Drive, San Bernardino, CA, 92411"
302,Sonoma Valley Hospital,"347 Andrieux St, Sonoma, CA, 95476"
303,Community Hospital Of Huntington Park,"2623 E Slauson Ave, Huntington Park, CA, 90255"
304,Saint Agnes Medical Center,"1303 E Herndon Ave, Fresno, CA, 93710"
305,"West Covina Medical Center, Inc","725 S Orange Ave, West Covina, CA, 91790"
306,San Antonio Regional Hospital,"999 San Bernardino Road, Upland, CA, 91786"
307,Sharp Memorial Hospital,"7901 Frost St, San Diego, CA, 92123"
308,Sutter Solano Medical Center,"300 Hospital Dr, Vallejo, CA, 94589"
309,Parkview Community Hospital Medical Center,"3865 Jackson Street, Riverside, CA, 92503"
310,White Memorial Medical Center,"1720 E Cesar Avenue, Los Angeles, CA, 90033"
311,Saint Francis Medical Center,"3630 East Imperial Highway, Lynwood, CA, 90262"
312,Marian Regional Medical Center,"1400 E Church St, Santa Maria, CA, 93454"
313,"Sutter Medical Center, Sacramento","2825 Capitol Avenue, Sacramento, CA, 95816"
314,Lompoc Valley Medical Center,"1515 E Ocean Avenue, Lompoc, CA, 93436"
315,Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,"1250 16th Street, Santa Monica, CA, 90404"
316,San Mateo Medical Center,"222 W 39th Ave, San Mateo, CA, 94403"
317,Palomar Health Downtown Campus,"555 E Valley Parkway, Escondido, CA, 92025"
318,Northridge Hospital Medical Center,"18300 Roscoe Blvd, Northridge, CA, 91325"
319,Doctors Hospital Of Manteca,"1205 E North Street, Manteca, CA, 95336"
320,Adventist Medical Center,"115 Mall Drive, Hanford, CA, 93230"
321,Dameron Hospital,"525 West Acacia Street, Stockton, CA, 95203"
322,Usc Verdugo Hills Hospital,"1812 Verdugo Blvd, Glendale, CA, 91209"
323,Regional Medical Center Of San Jose,"225 N Jackson Avenue, San Jose, CA, 95116"
324,Valley Presbyterian Hospital,"15107 Vanowen St, Van Nuys, CA, 91406"
325,Woodland Memorial Hospital,"1325 Cottonwood Street, Woodland, CA, 95695"
326,Tri-city Medical Center,"4002 Vista Way, Oceanside, CA, 92056"
327,St Bernardine Medical Center,"2101 N Waterman Ave, San Bernardino, CA, 92404"
328,Novato Community Hospital,"180 Rowland Way, Novato, CA, 94945"
329,San Gabriel Valley Medical Center,"438 W Las Tunas Drive, San Gabriel, CA, 91776"
330,Rideout Memorial Hospital,"726 4th St, Marysville, CA, 95901"
331,Southern California Hospital At Hollywood,"6245 De Longpre Ave, Hollywood, CA, 90028"
332,Petaluma Valley Hospital,"400 N Mcdowell Blvd, Petaluma, CA, 94954"
333,Kaiser Foundation Hospital - Panorama City,"13652 Cantara St, Panorama City, CA, 91402"
334,Kaiser Foundation Hospital - Los Angeles,"4867 Sunset Blvd, Los Angeles, CA, 90027"
335,Kaiser Foundation Hospital - Downey,"9333 Imperial Highway, Downey, CA, 90242"
